"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NUR","College Total","1773","3.841","66.6","16.8","3.6","0.6","0.2","",".","",".","2.4","",".","8.9",".","0.3","0.6",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"NUR","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.844","81.3","6.3","12.5",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","57","3.896","86.0","8.8","3.5","1.8",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","208","3.705","51.4","23.6","7.7","0.5","1.0","",".","",".",".","",".","15.9",".",".",".",".",".","."
"Senior","","1242","3.843","67.4","18.3","3.3","0.6","0.1","",".","",".",".","",".","10.0",".",".","0.3",".",".","."
"Undergraduates","","1523","3.828","66.1","18.5","4.0","0.6","0.2","",".","",".",".","",".","10.3",".",".","0.3",".",".","."
"Special","","9","3.941","77.8",".","11.1",".",".","",".","",".",".","",".",".",".",".","11.1",".",".","."
"Graduate","","221","3.939","67.9","5.4","0.9","0.5",".","",".","",".","19.5","",".",".",".","2.7","2.7",".","0.5","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","19","3.917","84.2","15.8",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Professionals","","20","3.918","85.0","15.0",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"","College Total","1773","3.841","66.6","16.8","3.6","0.6","0.2","",".","",".","2.4","",".","8.9",".","0.3","0.6",".","0.1","."
