"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","309","3.114","21.0","25.6","28.2","12.0","9.7","1.9","1.0","0.3",".",".",".",".","0.3",".",".","."
"132","002","","361","3.010","15.5","24.9","29.4","15.2","10.8","3.0","0.8","0.3",".",".",".",".",".",".",".","."
"132","003","","164","2.911","15.9","17.7","25.6","10.4","25.0","0.6","0.6","3.0",".",".",".",".","0.6","0.6",".","."
"Nutrition Today","Course Total","","834","3.030","17.6","23.7","28.2","13.1","13.2","2.2","0.8","0.8",".",".",".",".","0.2","0.1",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","7","3.000",".","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","143","2.878","21.0","14.0","25.9","13.3","18.9","6.3","0.7",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","74","3.260","33.8","25.7","16.2","14.9","4.1","2.7","1.4",".","1.4",".",".",".",".",".",".","."
"375
Special Topics","003","","15","4.000","53.3",".",".",".",".",".",".",".",".",".",".",".","46.7",".",".","."
"431
Nutrition in the Life Span","001","","73","2.979","15.1","24.7","23.3","9.6","24.7",".",".",".",".",".",".",".",".",".","2.7","."
"500
Undergrad Capstone Seminar Lab","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","41","2.829","24.4","9.8","31.7","9.8","12.2","7.3","4.9",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","36","3.597","38.9","41.7","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","7","3.000",".",".","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","14","3.429","50.0","28.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"625
Adv Nutritn: Obesity&Diabetes","001","","19","3.306","21.1","47.4","21.1",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","7","3.875","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","21","3.908","85.7","4.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","13","3.300","23.1","46.2",".",".",".",".","7.7","23.1",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","27","3.917","18.5","3.7",".",".",".",".",".","74.1","3.7",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
