"","775
002","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
003","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
004","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","17","",".",".",".",".",".",".","",".","94.1",".",".",".","",".","",".",".","5.9","."
"COMP BIO
934","Dept. Total","518","3.558","48.5","19.7","22.8","3.5","1.7","0.6","",".","3.1",".",".",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","17","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","320","3.653","59.1","16.6","20.3","2.8","0.6","0.6","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","162","3.329","26.5","30.2","32.7","5.6","4.3","0.6","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","17","",".",".",".",".",".",".","",".","94.1",".",".",".","",".","",".",".","5.9","."
"Professionals","","501","3.546","46.7","20.4","23.6","3.6","1.8","0.6","",".","3.2",".",".",".","",".","",".",".","0.2","."
"","Dept. Total","518","3.558","48.5","19.7","22.8","3.5","1.7","0.6","",".","3.1",".",".",".","",".","",".",".","0.2","."
