"NEUROSCIENCE TRAINING PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"500
Undergrad Neurobiology Seminar","001","","41","3.854","87.8","2.4","2.4","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","68","3.333","50.0","8.8","20.6","2.9","8.8","5.9",".",".",".",".",".",".","2.9",".",".","."
"611
Systems Neuroscience","001","","17","3.500","41.2","35.3","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"635
Neurobiology of Disease","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Neuroscience & Public Policy","001","","7","3.688","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Stem Cells&Central Nervous Sys","001","","18","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Special Topics","014","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","007","","12","3.962","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","8","3.719","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Research","Course Total","","132","3.962","90.9","3.8","2.3",".",".",".",".","0.8",".",".",".",".","0.8",".","1.5","."
"765
Developmental Neuroscience","001","","8","3.714","62.5",".","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
