"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"798","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","9","4.000","11.1",".",".",".",".",".",".","77.8",".",".",".",".","11.1",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"802
Ethics & Conduct of Research","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Adv Rsch Design & Methods II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"806
Eval & App Evidence-Based Prac","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"816
Proseminar in Nursing Research","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"818
Patient-centered Research","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"829","001","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"829","002","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Clinical Leadership IV","Course Total","","15","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"906","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","15","",".",".",".",".",".",".",".","93.3",".",".",".",".","6.7",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","13","",".",".",".",".",".",".",".","53.8",".",".",".","46.2",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","10.0",".",".",".",".",".",".","70.0",".",".",".",".","10.0",".","10.0","."
