"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","205","2.710","13.7","11.2","24.9","30.2","10.7","5.4","3.9",".",".",".",".",".",".",".",".","."
"","201
002","135","2.715","11.1","11.9","28.1","27.4","15.6","1.5","4.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","340","2.712","12.6","11.5","26.2","29.1","12.6","3.8","4.1",".",".",".",".",".",".",".",".","."
"Dynamics","202
001","84","2.747","6.0","23.8","28.6","21.4","10.7","3.6","4.8",".",".",".",".",".","1.2",".",".","."
"Mechanics of Materials","303
001","119","3.021","19.3","30.3","20.2","12.6","10.9","5.0","1.7",".",".",".",".",".",".",".",".","."
"","307
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","9","3.222","11.1","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","9","2.722","11.1","11.1","22.2","22.2","33.3",".",".",".",".",".",".",".",".",".",".","."
"","307
006","8","3.063","25.0",".","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
307","7","3.071","14.3",".","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","012
307","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","013
307","9","2.889",".","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
014","8","2.875","12.5","25.0","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","92","3.114","17.4","21.7","38.0","12.0","10.9",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","20","3.375","40.0","30.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","24","3.417","29.2","41.7","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","8","2.667",".","25.0","12.5","25.0",".","12.5",".","25.0",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","17","3.147","17.6","11.8","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","34","3.044","32.4","20.6","17.6","11.8","5.9","8.8","2.9",".",".",".",".",".",".",".",".","."
"Astrodynamics","550
001","34","3.544","38.2","38.2","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","35","3.186","45.7","2.9","22.9","11.4","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"","599
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Adv Mech Testing-Materials","611
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","9","3.167","33.3","33.3","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","001
642","31","2.871","6.5","32.3","25.8","12.9","19.4",".","3.2",".",".",".",".",".",".",".",".","."
"","690
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Adv Topics-Finite Elements","705
001","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 119 of 404",""
