"","999
147","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
157","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
195","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","53","3.994","67.9","1.9",".",".",".","",".",".","18.9","",".",".",".","1.9","1.9","3.8","3.8","."
"CURRIC
272","Dept. Total","2248","3.915","66.2","5.8","1.7","0.4","0.3","",".","0.0","4.4","",".","16.8","0.0","2.2","1.4","0.1","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.531","55.6","27.8",".","11.1","5.6","",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","60","3.647","56.7","23.3","11.7","1.7","3.3","",".",".",".","",".",".",".",".",".",".","3.3","."
"Junior","","182","3.850","64.8","11.5","1.6","1.1",".","",".","0.5",".","",".","20.3",".",".",".",".",".","."
"Senior","","1244","3.924","65.4","5.7","1.5","0.3","0.2","",".",".","0.2","",".","25.9",".",".","0.5",".","0.2","."
"Undergraduates","","1504","3.895","64.9","7.4","1.9","0.6","0.4","",".","0.1","0.1","",".","23.9",".",".","0.4",".","0.3","."
"Special","","182","3.935","83.5","2.7","3.3",".","0.5","",".",".",".","",".","7.7","0.5",".","1.6",".",".","."
"Graduate","","562","3.969","64.2","2.5","0.5","0.2",".","",".",".","17.4","",".","0.7",".","8.9","4.1","0.4","1.1","."
"","Dept. Total","2248","3.915","66.2","5.8","1.7","0.4","0.3","",".","0.0","4.4","",".","16.8","0.0","2.2","1.4","0.1","0.4","."
