"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","141","3.190","22.0","24.1","36.2","8.5","3.5","0.7","2.1","2.8",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","99","3.444","52.5","17.2","18.2","4.0","3.0",".","4.0",".",".",".",".",".","1.0",".",".","."
"Intro-E Asian History:Japan","104","001","67","3.112","26.9","16.4","32.8","3.0","19.4","1.5",".",".",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","191","3.425","15.2","56.0","23.0","2.6","0.5",".",".","2.6",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161","001","93","3.683","58.1","29.0","9.7","2.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"","200","001","43","2.905","20.9","18.6","23.3","14.0","14.0","2.3","4.7",".",".",".",".",".","2.3",".",".","."
"","200","002","38","3.189","18.4","26.3","34.2","15.8",".","2.6",".",".",".",".",".",".",".",".","2.6","."
"","200","003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","91","3.146","28.6","19.8","25.3","13.2","6.6","2.2","2.2",".",".",".",".",".","1.1",".","1.1","."
"","221","001","41","3.463","24.4","46.3","26.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","221","002","75","2.761","14.7","18.7","21.3","10.7","13.3","5.3","5.3","6.7",".",".",".",".","4.0",".",".","."
"Explorations in Amer Hist (H)","","Course Total","116","3.028","18.1","28.4","23.3","7.8","8.6","3.4","3.4","4.3",".",".",".",".","2.6",".",".","."
"","223","001","43","3.070","20.9","32.6","23.3","4.7","11.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"","223","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","46","3.076","19.6","34.8","21.7","6.5","10.9","4.3","2.2",".",".",".",".",".",".",".",".","."
"","225","001","15","3.214","6.7","40.0","33.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"","225","002","10","3.250","20.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","","Course Total","25","3.229","12.0","36.0","32.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243","001","29","3.086","17.2","24.1","37.9","13.8","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","37","3.600","35.1","45.9","10.8","2.7",".",".",".","5.4",".",".",".",".",".",".",".","."
"History of American Capitalism","247","001","63","3.164","7.9","34.9","38.1","4.8","4.8","1.6",".","6.3",".",".",".",".",".","1.6",".","."
"Eastern Europe:Interdis Survey","254","001","10","3.688","50.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","20.0","."
"Latin America-Introduction","260","001","32","3.548","34.4","37.5","25.0",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","35","3.348","31.4","20.0","25.7","17.1",".",".",".",".",".",".",".",".",".","5.7",".","."
"Africa: Introductory Survey","277","001","32","3.141","18.8","21.9","37.5","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","158","3.399","24.1","39.2","19.6","5.7","3.8",".",".","7.6",".",".",".",".",".",".",".","."
"Intro-Byzantine History&Civ","313","001","96","3.283","24.0","31.3","22.9","10.4","5.2",".","1.0","4.2",".",".",".",".","1.0",".",".","."
"Sci Revol:Copernicus-Newton","323","001","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Korean Histry, 1945 to present","335","001","29","3.637","41.4","31.0","17.2",".",".",".",".","3.4",".",".",".",".","6.9",".",".","."
"French Revolution 1685-1799","358","001","72","2.805","6.9","13.9","33.3","19.4","8.3","2.8","2.8","12.5",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","50","3.209","12.0","36.0","32.0","6.0","8.0",".",".","4.0",".",".",".",".","2.0",".",".","."
"Mod Pol Hist of Jews:1870-1970","374","002","29","3.750","62.1","10.3","17.2",".",".",".",".","6.9",".",".",".",".",".",".","3.4","."
"Hist of Africa, 1500-1870","377","002","42","3.041","14.3","35.7","19.0","14.3","4.8","4.8","2.4","2.4",".",".",".",".",".","2.4",".","."
"Slavery,Civil War&Recon1848-77","393","001","45","3.522","44.4","31.1","11.1","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"United States, 1877-1914","395","001","66","3.669","60.6","16.7","9.1","4.5",".",".","1.5","7.6",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","142","3.634","45.8","28.2","14.8","1.4","1.4",".",".","7.0",".",".",".",".","1.4",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","70","3.489","22.9","50.0","20.0","1.4",".",".",".","4.3",".",".",".",".","1.4",".",".","."
"History-American Education","412","001","56","3.402","32.1","33.9","26.8","3.6","1.8",".","1.8",".",".",".",".",".",".",".",".","."
