"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.885","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"901
Smr-Mod Afr Lit","001","","10","4.000","20.0",".",".",".",".",".",".",".",".",".",".",".","80.0",".",".","."
"903
Seminar-African Linguistics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","","10","4.000","40.0",".",".",".",".",".",".","50.0","10.0",".",".",".",".",".",".","."
