"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","204
014","24","3.167","20.8","16.7","45.8","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
015","23","3.065","13.0","21.7","47.8","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","204
016","20","3.400","35.0","20.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
017","21","3.262","9.5","42.9","42.9",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
018","20","2.950","15.0","15.0","40.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","019
204","23","2.614","4.3","26.1","21.7","13.0","21.7",".","8.7","4.3",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","360","3.118","21.9","22.5","33.6","8.1","10.0","0.8","1.9","1.1",".",".",".",".",".",".",".","."
"Spanish for Spanish Speaker","207
001","8","3.125",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","223
001","177","3.726","72.9","13.0","10.7","1.1",".","0.6","1.7",".",".",".",".",".",".",".",".","."
"","223
002","23","3.217","17.4","34.8","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","223
003","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","215","3.686","67.9","15.3","12.1","1.9","0.9","0.5","1.4",".",".",".",".",".",".",".",".","."
"","224
001","21","3.405","38.1","19.0","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","224
002","23","3.826","82.6",".","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
224","16","3.281","31.3","37.5","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","006
224","22","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","224
007","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","224
008","23","3.696","69.6","17.4","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","224
009","20","3.425","30.0","25.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
010","20","3.250","20.0","20.0","55.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","210","3.545","49.5","20.5","24.3","2.9","1.9","1.0",".",".",".",".",".",".",".",".",".","."
"","226
001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","20","3.225","25.0","15.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
226","19","3.342","26.3","42.1","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","226
005","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
226","19","3.579","36.8","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","20","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
008","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
009","17","3.324","29.4","17.6","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
010","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
226","16","3.313","18.8","43.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
015","16","3.375","31.3","43.8","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","226
017","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","15","3.367","20.0","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","17","3.324","35.3","11.8","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","226
021","17","3.412","23.5","47.1","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
022","19","3.421","26.3","31.6","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
023","20","3.265","20.0","15.0","40.0","10.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"","226
024","19","3.237","15.8","36.8","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","226
025","18","3.083","22.2","22.2","38.9","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
