"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"","448","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","75","3.854","85.3","6.7","2.7","1.3","1.3","1.3",".",".",".",".",".",".","1.3",".",".","."
"Neon: Light as Sculpture","454","001","","13","3.667","53.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Intro-Visual Comm & Research","458","001","","14","3.143","42.9",".","35.7",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","469","001","","17","3.563","41.2","41.2",".","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","469","002","","8","3.500","62.5",".",".","12.5","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Interdis Studies in the Arts","","Course Total","","25","3.543","48.0","28.0",".","8.0","8.0",".",".","4.0",".",".",".",".","4.0",".",".","."
"Intermediate Photography","476","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","143","3.816","87.4","2.1","4.2","0.7","2.1","0.7","1.4","1.4",".",".",".",".",".",".",".","."
"","512","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","","14","3.571","50.0","35.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","002","","6","3.935","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","548","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Advanced Level","","Course Total","","16","3.936","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","14","3.462","14.3","64.3","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Adv Graphic Design Technlgy","556","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","612","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Advanced Artists' Video","618","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","","Course Total","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Portfolio & Prof Pract","656","001","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art and Technology","660","001","","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","","Page 70 of 404"
