"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","20","3.250","20.0","25.0","25.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".","5.0"
"","101
004","18","3.719","61.1","16.7",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"","101
006","21","3.200","19.0","38.1","23.8","9.5",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","101
008","21","3.476","38.1","28.6","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","21","3.524","47.6","28.6","14.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
010","18","3.375","38.9","27.8","11.1","5.6",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"","101
011","22","3.214","22.7","31.8","18.2","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","101
012","12","3.250","16.7","25.0","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","153","3.376","33.3","28.1","19.6","9.2","3.3",".","1.3","4.6",".",".",".",".",".",".",".","0.7"
"","102
002","22","3.500","40.9","31.8","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.219","18.8","31.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.500","45.0","25.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","17","3.265","17.6","41.2","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","102
009","14","3.250","35.7","35.7","14.3",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","102
010","18","2.969","11.1","38.9","11.1","11.1","5.6","11.1",".","11.1",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","114","3.321","28.9","35.1","20.2","7.0","3.5","2.6","0.9","1.8",".",".",".",".",".",".",".","."
"","203
002","18","3.333","22.2","50.0","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.184","36.8","15.8","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","203
005","13","3.231","23.1","38.5",".","38.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","14","3.321","28.6","42.9","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","008
203","9","3.167","11.1","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","73","3.253","26.0","37.0","8.2","21.9","5.5","1.4",".",".",".",".",".",".",".",".",".","."
"","204
001","16","3.281","25.0","31.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
003","14","2.893","7.1","14.3","57.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","204
004","20","2.925","5.0","30.0","30.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","006
204","15","3.233","13.3","46.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","204
008","11","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","76","3.125","15.8","31.6","28.9","14.5","6.6","2.6",".",".",".",".",".",".",".",".",".","."
"","228
001","14","3.804","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","22","3.351","18.2","50.0","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","228
003","21","3.350","9.5","57.1","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
228","24","3.474","20.8","54.2","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","006
228","23","3.447","30.4","39.1","17.4","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","104","3.459","26.0","47.1","18.3","5.8","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"","271
001","8","3.808","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","23","3.567","39.1","26.1","30.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","271
003","14","3.750","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intro to Literary Analysis","Course Total","45","3.664","48.9","28.9","17.8",".",".",".",".","2.2",".",".",".",".","2.2",".",".","."
"Practical French Converstn","302
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
001","17","3.344","17.6","41.2","29.4",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","312
001","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Adv Interdis Pro Communication","315
001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","14","3.286","21.4","57.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
