"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"911
Limnology & Marine Sci Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr-Plant Systematics&Evolutn","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"941
Plant Taxonomy Journ Review","029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research-Phycology","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","17","",".",".",".",".",".",".",".","35.3",".",".",".","64.7",".",".",".","."
"995","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","11","",".",".",".",".",".",".",".","72.7",".",".",".","27.3",".",".",".","."
"996","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","4","***","","","","","","","","","","","","","","","",""
