"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","7","3.923","85.7","14.3",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","5","3.906","80.0","20.0",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","39","3.576","56.4","25.6","2.6",".","2.6","",".","5.1",".","",".",".","",".",".","7.7",".",".","."
"Undergraduates","52","3.673","63.5","23.1","1.9",".","1.9","",".","3.8",".","",".",".","",".",".","5.8",".",".","."
"Special","6","4.000","66.7",".",".",".",".","",".",".","33.3","",".",".","",".",".",".",".",".","."
"Graduate","159","3.815","67.3","21.4","3.1","1.3","0.6","",".",".","5.0","",".",".","",".","0.6","0.6",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
