"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","46","3.815","76.1","13.0","8.7","2.2",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Intro to Lit of Native America","172
001","115","3.285","30.4","29.6","25.2","6.1","4.3","0.9","2.6",".",".","",".",".","",".","",".","",".","0.9","."
"Literature by Amer Ind Women","246
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Native Peoples of Southwest","320
001","41","3.397","36.6","24.4","19.5","7.3","7.3",".",".","4.9",".","",".",".","",".","",".","",".",".","."
"American Indian Folklore","431
001","9","2.889","33.3","22.2","11.1",".","11.1","22.2",".",".",".","",".",".","",".","",".","",".",".","."
"Native Amer Envir Iss & Media","444
001","16","3.469","56.3","18.8","12.5",".","6.3","6.3",".",".",".","",".",".","",".","",".","",".",".","."
"","450
006","21","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
009","14","2.964","42.9",".","28.6","7.1","7.1","7.1","7.1",".",".","",".",".","",".","",".","",".",".","."
"","450
013","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","450
016","17","3.500","41.2","35.3","11.8","5.9","5.9",".",".",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","56","3.545","58.9","17.9","10.7","3.6","3.6","1.8","1.8",".","",".",".","",".","",".","",".",".","1.8","."
"American Indian Families","522
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Rur Minority Grp&Povrty-U S","578
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
011","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
016","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","6","3.781","66.7","16.7","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Indians and Empires","941
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","313","3.471","48.9","21.7","16.9","4.2","4.2","1.6","1.3","0.6","",".",".","",".","",".","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.472","40.7","29.6","22.2","5.6",".",".","1.9",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","111","3.527","51.4","21.6","17.1","4.5","4.5",".","0.9",".","",".",".","",".","",".","",".",".",".","."
"Junior","","53","3.434","50.9","22.6","15.1","3.8",".","5.7","1.9",".","",".",".","",".","",".","",".",".",".","."
"Senior","","85","3.386","48.2","18.8","15.3","3.5","9.4","2.4","1.2",".","",".",".","",".","",".","",".",".","1.2","."
"Undergraduates","","303","3.462","48.5","22.4","17.2","4.3","4.3","1.7","1.3",".","",".",".","",".","",".","",".",".","0.3","."
"Special","","4","4.000","25.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".","25.0","."
"Graduate","","6","3.833","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","313","3.471","48.9","21.7","16.9","4.2","4.2","1.6","1.3","0.6","",".",".","",".","",".","",".",".","0.6","."
