"","890
002","","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","890
021","","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"GREEK
428","Dept. Total","","50","3.658","56.0","16.0","14.0",".","4.0","",".","",".","6.0","",".",".","",".","2.0","2.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","","5","3.400","40.0",".","60.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","7","3.761","57.1","14.3","14.3",".",".","",".","",".",".","",".",".","",".",".","14.3",".",".","."
"Senior","","","20","3.507","45.0","25.0","15.0",".","10.0","",".","",".","5.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","","33","3.539","45.5","21.2","21.2",".","6.1","",".","",".","3.0","",".",".","",".",".","3.0",".",".","."
"Special","","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","","15","3.958","73.3","6.7",".",".",".","",".","",".","13.3","",".",".","",".","6.7",".",".",".","."
"","Dept. Total","","50","3.658","56.0","16.0","14.0",".","4.0","",".","",".","6.0","",".",".","",".","2.0","2.0",".",".","."
