"","990
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","34","",".",".",".",".",".",".",".","82.4",".",".",".","17.6",".",".",".","."
"GEOG
416","Dept. Total","1446","3.202","29.5","21.7","22.5","8.1","8.4","2.5","1.0","3.8",".","0.5",".","0.6","0.8","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","",""
"Freshmen","","79","2.991","21.5","21.5","24.1","16.5","8.9","3.8","2.5",".",".",".",".",".","1.3",".",".","."
"Sophomore","","336","3.137","25.6","22.6","26.5","11.3","8.3","2.7","1.2","0.6",".","0.3",".",".","0.9",".",".","."
"Junior","","338","3.088","25.4","21.0","27.8","8.0","12.1","3.6","1.2",".",".",".",".",".","0.3","0.6",".","."
"Senior","","485","3.227","31.3","23.5","20.8","8.0","9.1","2.5","0.6","2.9",".","0.2",".",".","0.8","0.2",".","."
"Undergraduates","","1238","3.148","27.5","22.5","24.5","9.5","9.7","2.9","1.1","1.3",".","0.2",".",".","0.7","0.2",".","."
"Special","","68","3.432","25.0","22.1","16.2",".","2.9",".","1.5","16.2",".","7.4",".",".","1.5",".","2.9","."
"Graduate","","140","3.764","49.3","15.0","7.9",".",".",".",".","20.0",".",".",".","5.7","1.4",".","0.7","."
"","Dept. Total","1446","3.202","29.5","21.7","22.5","8.1","8.4","2.5","1.0","3.8",".","0.5",".","0.6","0.8","0.2","0.2","."
