"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","328","005","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","006","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","35","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"Intro to the Syntax of English","329","001","","24","3.625","54.2","33.3","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","","32","3.203","21.9","31.3","31.3","9.4","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Global Spread of English","332","001","","32","3.641","56.3","21.9","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","24","3.667","62.5","25.0","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","29","3.293","10.3","58.6","24.1",".","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","337","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","004","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","338","001","","12","3.625","50.0",".","8.3",".","8.3",".",".",".",".",".",".",".","33.3",".",".","."
"","338","002","","10","3.000",".","60.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","","Course Total","","22","3.278","27.3","27.3","13.6",".","9.1","4.5",".",".",".",".",".",".","18.2",".",".","."
"Beowulf","359","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","33","3.125","15.2","36.4","33.3",".","6.1","3.0","3.0",".",".",".",".",".","3.0",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","37","3.581","67.6","10.8","10.8","2.7","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"Shakespeare","418","001","","37","3.419","18.9","51.4","27.0",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Theme in 17c Eng Lit","426","001","","21","3.333","19.0","61.9","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","35","3.632","42.9","37.1","17.1",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Intell Opinion-19c Eng Lit","461","001","","14","3.417","35.7","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".","14.3",".",".","."
"Interdis Studies in the Arts","469","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","30","3.083","10.0","36.7","33.3","13.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","504","001","","32","3.172","18.8","28.1","37.5","12.5",".",".","3.1",".",".",".",".",".",".",".",".","."
"Recent Drama in English","508","001","","14","3.615","57.1","14.3","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","001","","15","3.429","13.3","53.3","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","550","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","550","002","","14","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","550","003","","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","","Course Total","","28","3.615","53.6","17.9","10.7","10.7",".",".",".",".",".",".",".",".","7.1",".",".","."
"Modern Critical Theories","553","001","","22","3.136","36.4","27.3","13.6","9.1",".","9.1","4.5",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","27","3.426","44.4","14.8","25.9","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Three American Novelists","619","001","","21","3.357","19.0","47.6","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"3 Amer Authors Before 1865","621","001","","22","3.523","50.0","31.8","13.6",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Outstndg Figures-19c Am Lit","625","001","","10","2.950","20.0","20.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 206 of 404",""
