"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","",".",".",".",".",".","",".",".",".","",".","100.0",".",".",".",".",".","."
"Sophomore","","12","",".",".",".",".",".","",".",".",".","",".","83.3","16.7",".",".",".",".","."
"Junior","","20","3.518","35.0",".","5.0","5.0","5.0","",".",".","5.0","",".","30.0","10.0",".","5.0",".",".","."
"Senior","","144","3.347","26.4","28.5","22.9","6.3","4.2","",".","1.4",".","",".","6.9","1.4",".","2.1",".",".","."
"Undergraduates","","179","3.359","25.1","22.9","19.0","5.6","3.9","",".","1.1","0.6","",".","16.2","3.4",".","2.2",".",".","."
"Special","","21","3.159","9.5","23.8","38.1","23.8","4.8","",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","186","3.587","30.1","15.6","15.1","1.1","0.5","",".",".","22.6","",".",".",".","14.0","1.1",".",".","."
"","Dept. Total","386","3.433","26.7","19.4","18.1","4.4","2.3","",".","0.5","11.1","",".","7.5","1.6","6.7","1.6",".",".","."
