"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","86","3.180","33.7","20.9","18.6","12.8","10.5","1.2","2.3",".",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","161","3.550","47.2","17.4","15.5","2.5","2.5","1.2","0.6","12.4",".",".",".",".",".",".","0.6","."
"Survey-Photogrphy:1839-1989","206","001","90","2.900","23.3","16.7","11.1","13.3","8.9","5.6","4.4","15.6","1.1",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","32","3.210","28.1","15.6","40.6","6.3","3.1",".","3.1","3.1",".",".",".",".",".",".",".","."
"Donatello-da Vinci:14-1500","322","001","55","3.116","5.5","29.1","27.3","10.9","5.5",".",".","18.2",".",".",".",".","1.8","1.8",".","."
"Cross-Cult Arts-Atlantc Rim","354","001","60","3.719","46.7","43.3","5.0",".",".",".",".","3.3",".",".",".","1.7",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","46","3.633","37.0","17.4","8.7",".",".","2.2",".","34.8",".",".",".",".",".",".",".","."
"Amer Architecture: 19th C","368","001","52","3.570","57.7","15.4","13.5","1.9","5.8","1.9",".","1.9",".",".",".",".",".",".","1.9","."
"Chinese Painting","371","001","33","2.875","12.1","6.1","27.3","12.1","12.1","3.0",".","21.2","3.0",".",".",".",".","3.0",".","."
"Cities&Sanctuaries-Anc Greece","405","001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","8","2.938","12.5","37.5","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"Topics in Medieval Art","415","001","15","3.300","40.0",".","20.0",".",".",".","6.7","20.0",".",".",".",".","13.3",".",".","."
"Art in Germany, 1900-1945","454","001","28","3.500","25.0","10.7","14.3",".","3.6",".",".","39.3",".",".",".",".","7.1",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","24","3.614","50.0","20.8","16.7",".","4.2",".",".",".",".",".",".",".","8.3",".",".","."
"Prosmr:19th Cent European Art","555","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","14","3.357","28.6","57.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Proseminar in American Art","565","001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.813","50.0","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","16.7","."
"Art & Archaeology-Ancient Rome","704","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Smr:Spec Topics-Art History","800","001","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Vis Cult: Topics in Vis Cult","802","001","16","3.944","50.0","6.3",".",".",".",".",".","12.5",".",".",".",".","31.3",".",".","."
"Smr-19 Cent European Art","855","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Smr-20th C Europn Art","856","001","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 163 of 404",""
