"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","21","3.405","23.8","33.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.556","50.0","11.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.412","31.6","10.5","47.4",".",".",".",".",".",".",".",".",".",".",".","5.3","5.3"
"3rd Year Obs & Gynecology","Course Total","","58","3.455","34.5","19.0","43.1",".",".",".",".",".",".",".",".",".",".",".","1.7","1.7"
"921
Gynecol Oncology Clerk-CSC","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","13","3.900","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","23.1","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","4.000","73.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".","21.1","."
