"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"507
Graduate Laboratory","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Intro to Quantum Mechanics","001","","11","3.227","54.5",".","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"535
Intro-Particle Physics","001","","13","3.462","61.5","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","21","3.625","47.6","23.8","23.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"603
Wkshp-College Physics Tchg","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Applied Optics","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","15","3.464","20.0","46.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"721
Theor Physics-Electrodynmcs","001","","14","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","27","3.654","37.0","51.9","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"736
Nuclear, Particle&Astrophysics","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
High Energy Astrophysics","001","","21","3.625","42.9","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"832
Advanced Quantum Mechanics","001","","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"835
Collider Phys Phenomenology","001","","15","4.000","66.7",".",".",".",".",".",".","20.0",".",".",".",".","13.3",".",".","."
"848
Nonlinear Waves","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 279 of 404",""
