"","991
012","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
013","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
019","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Indiv Research-Slavic Lit","Course Total","14","",".",".",".",".",".",".",".","57.1",".",".",".","42.9","",".",".",".","."
"SLAVIC
888","Dept. Total","254","3.701","63.8","15.0","8.3","3.5","0.4","0.4","0.8","5.1",".",".",".","2.4","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.744","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".","",".",".",".","."
"Sophomore","","44","3.581","63.6","13.6","15.9","2.3",".",".","4.5",".",".",".",".",".","",".",".",".","."
"Junior","","52","3.751","75.0","13.5","5.8","3.8","1.9",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","82","3.627","59.8","20.7","11.0","7.3",".","1.2",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","190","3.657","64.7","17.4","10.5","4.7","0.5","0.5","1.1","0.5",".",".",".",".","",".",".",".","."
"Special","","3","3.500",".","33.3",".",".",".",".",".","33.3",".",".",".",".","",".","33.3",".","."
"Graduate","","61","3.919","63.9","6.6","1.6",".",".",".",".","18.0",".",".",".","9.8","",".",".",".","."
"","Dept. Total","254","3.701","63.8","15.0","8.3","3.5","0.4","0.4","0.8","5.1",".",".",".","2.4","",".","0.4",".","."
