"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","10386","3.282","39.2","16.5","17.3","5.9","8.1","1.8","0.6","6.4","0.1","0.7",".","2.3","0.8","0.1","0.3","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","580","3.091","28.3","21.6","23.4","9.0","12.1","2.6","0.9",".",".","1.7",".",".","0.3",".","0.2","."
"Sophomore","","1314","3.268","43.7","16.4","19.0","7.4","7.4","2.7","0.9","0.1",".","1.8",".",".","0.4","0.1","0.2","."
"Junior","","2131","3.170","35.5","18.9","20.6","8.4","12.5","2.2","0.7","0.1",".","0.4",".",".","0.3","0.1","0.2","0.0"
"Senior","","4130","3.279","41.5","18.2","20.0","6.5","9.2","2.1","0.7","0.6","0.0","0.0",".","0.0","0.9","0.1","0.1","0.0"
"Undergraduates","","8155","3.235","39.3","18.3","20.2","7.3","10.0","2.3","0.7","0.4","0.0","0.5",".","0.0","0.6","0.1","0.2","0.0"
"Special","","163","3.339","33.7","17.8","11.0","4.3","9.2",".","0.6","17.2",".","1.8",".",".","0.6","0.6","3.1","."
"Graduate","","2047","3.716","39.5","8.8","6.1","0.5","0.3",".","0.2","29.4","0.2","1.4",".","11.3","1.6","0.0","0.6","."
"Prof Yr 1","","4","3.125",".","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","6","3.938","50.0","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".","16.7","."
"Prof Yr 3","","9","3.528","44.4","11.1","11.1",".","11.1",".",".",".",".",".",".","22.2",".",".",".","."
"Prof Yr 4","","6","3.917","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7","16.7",".",".","."
"Professionals","","25","3.639","40.0","16.0","16.0",".","4.0",".",".","4.0",".",".",".","12.0","4.0",".","4.0","."
"","College Total","10390","3.282","39.3","16.4","17.3","5.9","8.1","1.8","0.6","6.4","0.1","0.7",".","2.3","0.8","0.1","0.3","0.0"
