"","920
008","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","920
042","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","920
043","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","11","3.786","63.6","36.4",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"RADIOL
832","Dept. Total","","75","3.455","30.7","29.3","34.7","4.0","",".","",".","",".","",".","",".",".","",".","",".","1.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","50.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
"Senior","","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","4","4.000","75.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","25.0",".",".","."
"Prof Yr 3","","","17","3.500","35.3","35.3","23.5","5.9","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","54","3.404","25.9","29.6","40.7","3.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","71","3.426","28.2","31.0","36.6","4.2","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","75","3.455","30.7","29.3","34.7","4.0","",".","",".","",".","",".","",".",".","",".","",".","1.3",".",".","."
