"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","14","2.417","7.1",".","28.6","14.3","28.6",".","7.1","7.1",".",".",".",".",".",".","7.1","."
"500
Molecular Biology Techniques","001","","9","2.944","22.2","22.2","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","81","3.475","46.9","12.3","33.3","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","75","3.933","88.0","10.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","82","4.000","24.4",".",".",".",".",".",".","75.6",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","82","3.787","69.5","18.3","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","82","3.634","51.2","26.8","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","29","4.000","65.5",".",".",".",".",".",".","34.5",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"750
Vertebrate Viral Disease","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","31","",".",".",".",".",".",".",".","93.5",".",".",".",".",".",".","6.5","."
"799
Pract-Veterinary Sci Tchg","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".","83.3",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","13","3.792","69.2","15.4",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Advanced Seminar","Course Total","","15","3.786","66.7","20.0",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 398 of 404",""
