"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"250
Process Synthesis","001","","54","2.852","16.7","18.5","20.4","22.2","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"255
Intro to Chem Process Modeling","001","","50","3.070","26.0","22.0","16.0","20.0","14.0",".","2.0",".",".",".",".",".",".",".",".","."
"310
Chem Process Thermodynamics","001","","48","3.229","29.2","27.1","12.5","22.9","8.3",".",".",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","44","3.011","20.5","15.9","29.5","13.6","20.5",".",".",".",".",".",".",".",".",".",".","."
"320","001","","35","3.014","17.1","34.3","17.1","14.3","11.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"320","002","","15","2.933","13.3","20.0","26.7","33.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","Course Total","","50","2.990","16.0","30.0","20.0","20.0","8.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"324","001","","12","3.333","41.7","16.7","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"324","002","","14","3.321","28.6","21.4","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"324","003","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","50","3.480","40.0","28.0","28.0",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","56","2.982","21.4","16.1","25.0","16.1","19.6","1.8",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","45","3.167","28.9","6.7","48.9","4.4","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","56","2.893","23.2","14.3","19.6","17.9","19.6","3.6","1.8",".",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","28","2.911","17.9","25.0","25.0","7.1","14.3","10.7",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","56","2.973","21.4","19.6","16.1","17.9","25.0",".",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","001","","60","2.992","8.3","35.0","25.0","16.7","11.7","3.3",".",".",".",".",".",".",".",".",".","."
"489","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","40","3.175","27.5","20.0","30.0","15.0","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"547
Intro to Colloid&Interface Sci","001","","20","3.263","25.0","40.0","15.0","10.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"555
Seminar-Chem Engr Connections","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562","003","","21","3.705","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","35","3.800","77.1","11.4","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Instrmntl Anal-Chem Engr","001","","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
