"","990
080","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","97","",".",".",".",".",".","",".","",".","44.3",".",".",".","34.0",".",".","21.6","."
"MED PHYS
621","Dept. Total","277","3.613","35.4","15.9","10.5","1.1","0.4","",".","",".","16.2",".",".",".","11.9","0.4",".","8.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Junior","","7","3.800","85.7",".",".","14.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","28","3.516","35.7","28.6","28.6",".",".","",".","",".","7.1",".",".",".",".",".",".",".","."
"Undergraduates","","35","3.571","45.7","22.9","22.9","2.9",".","",".","",".","5.7",".",".",".",".",".",".",".","."
"Special","","8","3.154",".","25.0","37.5",".",".","",".","",".",".",".",".",".",".","12.5",".","25.0","."
"Graduate","","232","3.642","35.3","14.7","7.8","0.9","0.4","",".","",".","18.1",".",".",".","14.2",".",".","8.6","."
"Prof Yr 4","","2","",".",".",".",".",".","",".","",".","50.0",".",".",".",".",".",".","50.0","."
"Professionals","","2","",".",".",".",".",".","",".","",".","50.0",".",".",".",".",".",".","50.0","."
"","Dept. Total","277","3.613","35.4","15.9","10.5","1.1","0.4","",".","",".","16.2",".",".",".","11.9","0.4",".","8.3","."
