"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","15","3.467","40.0","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","18","3.306","22.2","27.8","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","17","3.176","17.6","41.2","29.4","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","87","3.483","40.2","27.6","27.6","2.3","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","3.474","47.4","10.5","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","38","3.703","60.5","15.8","21.1",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Comm in Life Sci Industries","270
001","","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
024","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.974","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","","22","3.659","72.7","13.6",".","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","22","3.762","63.6","18.2","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Information Radio","360
001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","375
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
009","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.311","33.3","33.3","11.1","5.6","5.6",".","5.6",".",".",".",".",".","5.6",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","9","3.917","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","13","3.948","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","","22","3.705","59.1","31.8","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","","38","3.842","81.6","5.3","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","30","3.431","43.3","30.0","6.7","6.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Pub Info Campaigns & Progms","515
001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","","22","3.568","50.0","31.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","","17","3.700","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","18","3.837","83.3","5.6",".",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Colloq in Life Sci Communicatn","700
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 5 of 404"
