"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"692
Senior Thesis","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","19","",".",".",".",".",".",".",".",".",".","89.5",".",".",".",".","10.5","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","3.963","81.3","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"806
Concep&Design-Mass Com Rsch","001","","9","3.857","55.6","22.2",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"810
Mass Communicatn Law&Policy","001","","7","3.700","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"880","018","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","022","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"880","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"880","025","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","026","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","43","3.905","83.7","9.3","4.7",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"901
Colloquium:Mass Communicatn","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 240 of 404",""
