"","990
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","53","",".",".",".",".",".",".",".","60.4",".",".",".","39.6",".",".",".","."
"Seminar: Geophysics","991
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","1173","2.908","20.5","14.7","26.5","11.1","12.2","3.8","2.6","5.1","0.2","0.2",".","1.9","0.3","0.2","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","109","2.641","5.5","14.7","32.1","19.3","21.1","4.6","2.8",".",".",".",".",".",".",".",".","."
"Sophomore","","252","2.915","15.1","15.9","34.9","15.1","13.9","4.8","0.4",".",".",".",".",".",".",".",".","."
"Junior","","267","2.716","11.6","18.0","31.8","10.1","15.4","5.2","6.0","0.4",".","0.7",".",".","0.7",".",".","."
"Senior","","382","3.009","26.4","15.7","25.4","11.3","11.3","3.7","2.6","2.4","0.5",".",".","0.3","0.3",".","0.3","."
"Undergraduates","","1010","2.859","17.4","16.2","30.2","12.8","14.1","4.5","3.0","1.0","0.2","0.2",".","0.1","0.3",".","0.1","."
"Special","","25","3.250","20.0","4.0","12.0","4.0",".",".","4.0","32.0",".",".",".",".",".","4.0","20.0","."
"Graduate","","138","3.810","43.5","5.8","2.2",".","0.7",".",".","30.4",".",".",".","15.2","0.7","0.7","0.7","."
"","Dept. Total","1173","2.908","20.5","14.7","26.5","11.1","12.2","3.8","2.6","5.1","0.2","0.2",".","1.9","0.3","0.2","0.6","."
