"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","21","2.171","9.5","14.3","14.3","4.8",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","39","3.711","51.3","35.9","5.1","2.6",".",".",".","5.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","657","1.171","7.6",".","26.2",".","3.8",".","0.2",".","",".",".","",".","",".","0.3",".","0.6","."
"Prof Yr 2","656","1.225","6.7",".","13.4",".","2.1",".","0.2","39.5","",".",".","",".","",".",".",".",".","1.8"
"Prof Yr 3","991","1.334","7.3",".","11.7",".","1.2",".",".","46.5","",".",".","",".","",".","0.4",".",".","2.5"
"Prof Yr 4","215","1.290","11.2",".","10.2",".","2.3","0.9",".","38.1","",".",".","",".","",".","0.9",".",".","."
"Professionals","2519","1.238","7.5",".","15.8",".","2.2","0.1","0.1","31.8","",".",".","",".","",".","0.3",".","0.2","1.5"
