"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Community & Envir Soc","001","","43","3.384","30.2","41.9","11.6","11.6","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","41","3.275","24.4","39.0","17.1","4.9","9.8","2.4",".","2.4",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"230
Ag&Soc Change-Western Hist","001","","47","3.043","8.5","23.4","48.9","6.4","12.8",".",".",".",".",".",".",".",".",".",".","."
"245
Technology and Society","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","082","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","002","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"357","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","25","3.560","56.0","28.0","8.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"360","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","13","3.500","61.5","7.7","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","24","3.417","54.2","8.3","16.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"361
Stats for Sociologists II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"500
Capstone Experience","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Public Hlth-Rural & Urban Comm","001","","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"578
Rur Minority Grp&Povrty-U S","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modern American Communities","001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","12","3.773","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"691
Senior Thesis","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
