"Graduate Survey","801
001","9","4.000","100.0",".",".",".",".",".",".","",".",".",".",".","",".","",".","",".",".","."
"","890
014","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
042","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"LATIN
524","Dept. Total","130","3.507","53.8","16.9","10.0","6.9","6.2","1.5","",".","3.1","1.5",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.469","43.8","25.0","12.5","18.8",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","25","3.560","56.0","16.0","16.0","8.0","4.0",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","30","3.659","60.0","23.3","6.7","6.7","3.3",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","38","3.215","44.7","18.4","10.5","5.3","15.8","5.3","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","109","3.460","51.4","20.2","11.0","8.3","7.3","1.8","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","21","3.933","66.7",".","4.8",".",".",".","",".","19.0","9.5",".","",".","",".","",".",".",".","."
"","Dept. Total","130","3.507","53.8","16.9","10.0","6.9","6.2","1.5","",".","3.1","1.5",".","",".","",".","",".",".",".","."
