"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","27","3.140","22.2","14.8","37.0","3.7","14.8",".",".",".",".",".",".",".","7.4",".",".","."
"333
Microprocessing-Materials","001","","19","3.605","47.4","36.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","146","3.339","37.0","20.5","29.5","6.2","4.1","2.1","0.7",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","23","2.870","21.7","13.0","30.4","13.0","8.7","13.0",".",".",".",".",".",".",".",".",".","."
"361","001","","10","3.100","30.0","10.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"361","002","","13","3.000","7.7","23.1","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory II","Course Total","","23","3.043","17.4","17.4","34.8","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","17","3.688","58.8","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"530
Thermodynamics of Solids","001","","32","3.433","31.3","25.0","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","21","2.975","19.0","4.8","42.9","9.5","19.0",".",".","4.8",".",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","15","",".",".",".",".",".",".",".","40.0",".",".",".",".","60.0",".",".","."
"760
Mol Dynamics&Monte Carlo Sims","001","","30","3.643","66.7","10.0","6.7","3.3","3.3","3.3",".","3.3",".",".",".",".","3.3",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","35","",".",".",".",".",".",".",".","60.0","2.9",".",".","37.1",".",".",".","."
"803","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"803","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","016","","25","3.792","64.0","24.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","58","3.867","70.7","10.3","3.4",".",".",".",".","12.1",".",".",".","1.7","1.7",".",".","."
"890","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 136 of 404",""
