"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Art Metal I","244
001","","13","3.604","61.5","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","12","3.826","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","12","3.167",".","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","3.331","8.7","56.5","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","9","3.625","66.7",".","11.1",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Etching","326
001","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","7","3.500","71.4",".",".",".",".","14.3",".",".",".",".",".",".","14.3",".",".","."
"","328
002","","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Computer in the Visual Arts","Course Total","","17","3.600","52.9","23.5","5.9",".",".","5.9",".",".",".",".",".",".","11.8",".",".","."
"Life Drawing II","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","3.872","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Fabr & Weldng in Sculptr","343
001","","10","3.722","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn Dsgn","346
001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348
001","","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","356
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","6","3.205","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","366
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","7","3.300","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","376
002","","9","3.600","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","376
003","","10","3.571","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","19","3.586","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Artists' Books","446
001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","448
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
005","","15","3.600","73.3","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","448
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
007","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","448
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
