"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","135","2.541","18.5","7.4","23.0","8.1","26.7","9.6","5.9",".",".",".",".",".","0.7",".",".","."
"","101
002","159","2.350","13.2","7.5","18.2","13.8","25.2","13.2","7.5",".",".",".",".",".",".","0.6",".","0.6"
"Animal Biology","Course Total","294","2.438","15.6","7.5","20.4","11.2","25.9","11.6","6.8",".",".",".",".",".","0.3","0.3",".","0.3"
"","102
001","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
011","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
018","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","141","3.465","29.8","42.6","22.0","3.5","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","35","2.900","20.0","17.1","37.1","2.9","11.4","8.6","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","164","2.851","20.7","6.1","42.7","3.0","18.9","7.3","1.2",".",".",".",".",".",".",".",".","."
"","152
001","211","2.874","14.2","10.9","46.9","5.7","16.6","4.3","1.4",".",".",".",".",".",".",".",".","."
"","152
002","217","3.093","18.4","13.8","48.8","6.5","10.1","1.4",".",".",".",".",".",".","0.5",".",".","0.5"
"","152
003","137","3.263","27.7","17.5","40.9","3.6","8.8",".",".",".",".",".",".",".","0.7",".",".","0.7"
"Introductory Biology","Course Total","565","3.052","19.1","13.6","46.2","5.5","12.2","2.1","0.5",".",".",".",".",".","0.4",".",".","0.4"
"Entering Research Part 1","260
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","261
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","5","***","","","","","","","","","","","","","","","",""
"","375
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
008","136","3.868","85.3","6.6","5.9","0.7","1.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","166","3.880","85.5","7.8","4.8","0.6","1.2",".",".",".",".",".",".",".",".",".",".","."
"Internship/Field Experience","399
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","675
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
