"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5601","2.823","27.6","11.8","21.6","9.8","15.8","7.0","4.6","0.7","0.0","0.7","0.0","",".","0.2","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1097","2.676","19.0","10.8","23.0","12.3","21.1","7.0","5.1",".",".","1.5",".","",".","0.3",".",".","."
"Sophomore","","1957","2.820","23.4","13.3","24.7","10.5","15.9","6.9","4.0","0.1","0.1","0.9","0.1","",".","0.2",".",".","."
"Junior","","1241","2.725","25.4","11.0","22.2","9.8","15.6","8.1","6.7","0.1",".","0.6",".","",".","0.5",".","0.1","."
"Senior","","889","2.846","30.4","12.8","18.4","9.1","15.5","8.4","4.3","0.4",".",".",".","",".","0.1","0.2","0.2","."
"Undergraduates","","5184","2.768","24.1","12.2","22.7","10.5","16.9","7.5","4.9","0.1","0.0","0.8","0.0","",".","0.3","0.0","0.1","."
"Special","","62","3.472","53.2","14.5","11.3","4.8","8.1","1.6","1.6","3.2",".",".",".","",".","1.6",".",".","."
"Graduate","","354","3.807","73.7","6.2","7.6","0.6","1.4","0.6","0.3","9.6",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","5601","2.823","27.6","11.8","21.6","9.8","15.8","7.0","4.6","0.7","0.0","0.7","0.0","",".","0.2","0.0","0.1","."
