"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Hist of Equatorial Africa","445
001","19","3.444","36.8","26.3","15.8","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450
002","31","3.278","6.5","48.4","25.8",".","6.5",".",".","12.9",".",".",".",".",".",".",".","."
"World Forest History","452
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Samurai: History and Image","454
001","56","3.439","33.9","32.1","25.0","3.6",".",".","1.8","3.6",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458
001","25","3.494","36.0","36.0","16.0",".",".",".","4.0","4.0",".",".",".",".",".",".","4.0","."
"Rule of Law:Philos&Hist Models","459
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460
001","102","3.380","31.4","23.5","24.5","5.9","3.9","1.0",".","7.8","1.0",".",".",".","1.0",".",".","."
"American West Since 1850","462
001","93","3.248","18.3","22.6","43.0","8.6","2.2",".",".","5.4",".",".",".",".",".",".",".","."
"","500
002","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","500
003","13","3.750","61.5","23.1",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","500
005","7","3.357","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","34","3.734","64.7","17.6","5.9","2.9","2.9",".",".","2.9",".",".",".",".","2.9",".",".","."
"Irish and Scottish Migrations","503
001","24","3.705","54.2","25.0","8.3","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
"Eur Cult Hist Since 1870","514
002","33","3.103","12.1","24.2","36.4","12.1",".",".","3.0","12.1",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World & The West from 1492","525
001","21","3.024","19.0","28.6","23.8","14.3","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","14","3.038","14.3","21.4","28.6","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600
005","15","3.000","13.3","20.0","46.7","6.7",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","600
006","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
007","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
008","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
012","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
013","15","3.433","33.3","60.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600
014","10","3.500","60.0","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","600
015","14","3.214","28.6","28.6","21.4",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","600
016","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600
017","12","3.458","33.3","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","189","3.612","54.5","27.5","10.6","3.2","2.6",".","1.1",".",".",".",".",".","0.5",".",".","."
"Afro-Am Hist Since 1900","636
001","10","3.200","30.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","680
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","682
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
