"","890
002","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
017","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
021","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"GREEK
428","Dept. Total","","64","3.553","43.8","28.1","10.9","4.7","1.6","1.6","",".","9.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","7","3.571","71.4",".",".","28.6",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.500","44.4","44.4",".",".",".","11.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.500","36.8","47.4","5.3","5.3","5.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","37","3.500","43.2","37.8","5.4","8.1","2.7","2.7","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","3.667","50.0",".","25.0",".",".",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","23","3.667","43.5","17.4","17.4",".",".",".","",".","21.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","64","3.553","43.8","28.1","10.9","4.7","1.6","1.6","",".","9.4","",".",".","",".","",".","",".",".",".","."
