"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","","96","3.290","30.2","33.3","21.9","2.1","4.2","2.1","3.1","1.0",".",".",".",".",".",".","2.1","."
"Genres-Asian Religious Writing","235","001","","8","3.500","25.0","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","9","2.444","11.1","22.2","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","51","3.480","43.1","25.5","23.5","2.0","2.0",".","2.0",".",".",".",".",".",".","2.0",".","."
"Intro to Turkish Folk Lit","279","001","","12","3.125","16.7","41.7","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","300","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","003","","24","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","","29","3.707","51.7","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Indian Literatures","312","001","","16","3.538","25.0","37.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".","12.5","."
"Literatures of Central Asia","314","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","35","3.727","62.9","28.6",".",".",".",".","2.9","2.9",".",".",".",".",".",".","2.9","."
"Southeast Asian Literature","404","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","11","3.813","45.5","27.3",".",".",".",".",".","18.2",".",".",".",".",".",".",".","9.1"
"Visual Cultures of South Asia","428","001","","18","2.971","5.6","38.9","22.2","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","11","2.583","36.4","9.1","9.1","9.1",".",".","27.3","9.1",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Soc Structrs-Muslim Society","614","001","","17","3.219","23.5","5.9","52.9","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"Writing Travels","615","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Gods & Goddesses of South Asia","626","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Central Asian Hist","640","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Proseminar in Buddhist Thought","650","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar:Literatures of Asia","666","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000B","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","","12","3.725","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Section Total","","15","3.739","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","27","3.836","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
