"L&S","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1616","3.136","29.8","17.7","23.3","11.0","9.4","2.3","1.4","3.3","0.1","0.6","0.1","0.7","0.1",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","",""
"Freshmen","","131","2.935","16.0","20.6","27.5","17.6","13.7","3.1","1.5",".",".",".",".",".",".",".",".","."
"Sophomore","","332","3.008","21.7","17.8","27.7","17.8","11.1","1.5","1.8",".",".",".",".",".","0.3",".","0.3","."
"Junior","","420","3.073","28.3","18.3","25.2","11.7","11.0","3.3","1.4","0.2",".","0.2",".",".",".",".","0.2","."
"Senior","","527","3.162","33.0","18.8","23.3","8.0","9.5","2.3","1.7","2.5","0.2","0.6",".",".","0.2",".",".","."
"Undergraduates","","1410","3.078","27.4","18.6","25.3","12.3","10.7","2.5","1.6","1.0","0.1","0.3",".",".","0.1",".","0.1","."
"Special","","65","3.327","24.6","18.5","20.0","4.6","1.5","3.1",".","20.0",".","3.1","1.5",".",".",".","3.1","."
"Graduate","","140","3.864","57.1","8.6","3.6","0.7",".",".",".","18.6",".","2.9",".","7.9",".",".","0.7","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1616","3.136","29.8","17.7","23.3","11.0","9.4","2.3","1.4","3.3","0.1","0.6","0.1","0.7","0.1",".","0.3","."
