"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","50","3.400","36.0","20.0","38.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Greenhse Prod-Ornamntl Plnt","001","","46","2.656","10.9","8.7","34.8","10.9","23.9","6.5","2.2",".",".",".",".",".",".",".","2.2","."
"335
Greenhse-Ornamntl Plant Lab","001","","11","2.909","27.3","27.3","9.1","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","18","3.904","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Undergraduate Seminar","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","11","3.050","36.4",".","27.3","9.1","9.1","9.1",".",".",".",".",".",".","9.1",".",".","."
"501
Principles-Plant Breeding","001","","21","3.143","23.8","14.3","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.750","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Horticulture Teaching","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
