"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","134
001","","22","3.438","40.9","9.1","9.1",".","13.6",".",".","27.3",".",".",".",".",".",".",".","."
"","134
002","","20","3.833","30.0","15.0",".",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"","134
003","","19","3.875","63.2","21.1",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","","61","3.695","44.3","14.8","3.3",".","4.9",".",".","32.8",".",".",".",".",".",".",".","."
"","138
002","","13","3.643","23.1","23.1","7.7",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","138
003","","13","3.455","23.1","30.8","30.8",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","138
004","","17","3.625","29.4","29.4","11.8",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","138
005","","15","3.650","40.0","13.3","6.7","6.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"Golf I","Course Total","","58","3.588","29.3","24.1","13.8","1.7",".",".",".","31.0",".",".",".",".",".",".",".","."
"","140
002","","17","3.719","52.9","29.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".","."
"","140
003","","20","3.656","45.0","25.0","5.0",".","5.0",".",".","20.0",".",".",".",".",".",".",".","."
"","140
004","","23","3.447","34.8","21.7","17.4",".","8.7",".",".","17.4",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","60","3.598","43.3","25.0","11.7",".","5.0",".",".","13.3","1.7",".",".",".",".",".",".","."
"Ice Skating II","145
001","","17","3.700","47.1","35.3",".","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","16","3.429","25.0","37.5","18.8",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"","155
001","","14","3.300","21.4","14.3","28.6",".","7.1",".",".","28.6",".",".",".",".",".",".",".","."
"","155
002","","15","3.577","33.3","33.3","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","29","3.457","27.6","24.1","24.1",".","3.4",".",".","20.7",".",".",".",".",".",".",".","."
"","157
001","","17","3.667","35.3","47.1","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","157
002","","25","3.619","40.0","24.0","20.0",".",".",".",".","12.0",".",".",".",".",".",".",".","4.0"
"Topics in Fencing","Course Total","","42","3.639","38.1","33.3","14.3",".",".",".",".","11.9",".",".",".",".",".",".",".","2.4"
"","162
001","","17","3.833","64.7","17.6","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","162
002","","13","2.875",".","7.7","38.5","7.7","7.7",".",".","38.5",".",".",".",".",".",".",".","."
"","162
003","","15","3.429","6.7","26.7","13.3",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","45","3.483","26.7","17.8","17.8","2.2","2.2",".",".","33.3",".",".",".",".",".",".",".","."
"","163
001","","16","3.533","25.0","62.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","163
002","","22","3.778","45.5","36.4",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","38","3.667","36.8","47.4",".",".","2.6",".",".","13.2",".",".",".",".",".",".",".","."
"Basketball I","170
001","","23","3.750","56.5","17.4","13.0",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Soccer I","173
001","","25","3.780","60.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","28","3.712","46.4","39.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","175
002","","26","3.154","30.8","23.1","30.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","175
003","","21","3.639","28.6","52.4","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","75","3.486","36.0","37.3","14.7","2.7",".",".","2.7","6.7",".",".",".",".",".",".",".","."
"Orienteering","194
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","12","3.850","58.3","25.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","201
002","","15","3.964","86.7","6.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","27","3.917","74.1","14.8",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","211
001","","13","3.750","76.9",".","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","211
002","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","22","3.714","72.7","9.1","4.5",".","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","39","3.097","17.9","15.4","30.8","5.1","7.7",".","2.6","20.5",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","15","3.682","40.0","20.0","13.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
