"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"615
Secnd Fld Exp-Communication","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"659
Adv Motion Pic Prod Wkshp","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.907","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.923","81.3",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"902
Film Colloquium","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Media&Cultural Studies Colloq","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
