"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"The Teaching of Reading","Course Total","","56","3.866","87.5","3.6","5.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","27","3.889","85.2","11.1",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","28","3.893","92.9",".","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","55","3.891","89.1","5.5","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","84","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.880","88.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","72","3.903","87.5","8.3","2.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","14","3.672","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","31","3.870","80.6","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Student Teaching in Chinese","407
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Teaching of Children's Lit","422
001","","55","3.845","87.3","5.5","1.8",".","5.5",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Young Adult Lit for Schools","431
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
