"","991
012","5","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","991
017","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","991
019","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Indiv Research-Slavic Lit","Course Total","18","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"SLAVIC
888","Dept. Total","272","3.689","63.6","13.6","11.0","1.1","1.1","0.4","0.4","7.7","0.4",".",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.465","52.9","35.3","5.9",".",".",".","5.9",".",".",".",".","",".","",".",".",".","."
"Sophomore","","44","3.464","54.5","15.9","25.0",".","2.3","2.3",".",".",".",".",".","",".","",".",".",".","."
"Junior","","41","3.741","68.3","19.5","9.8",".","2.4",".",".",".",".",".",".","",".","",".",".",".","."
"Senior","","93","3.743","71.0","15.1","10.8","3.2",".",".",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","195","3.656","65.1","17.9","13.3","1.5","1.0","0.5","0.5",".",".",".",".","",".","",".",".",".","."
"Special","","6","3.000",".",".","16.7",".",".",".",".","33.3","16.7",".",".","",".","",".",".","33.3","."
"Graduate","","71","3.848","64.8","2.8","4.2",".","1.4",".",".","26.8",".",".",".","",".","",".",".",".","."
"","Dept. Total","272","3.689","63.6","13.6","11.0","1.1","1.1","0.4","0.4","7.7","0.4",".",".","",".","",".",".","0.7","."
