"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","55","3.491","27.3","45.5","25.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","002","","39","3.577","33.3","48.7","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","38","3.421","36.8","26.3","28.9","5.3",".","2.6",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.919","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","40","3.613","45.0","35.0","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","57","3.158","21.1","26.3","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Biofluidics","001","","21","3.381","23.8","38.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","14","3.385","28.6","21.4","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","002","","14","3.882","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Biomedical Instrumentation","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"782
Modeling Biological Systems","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 102 of 403",""
