"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","57","2.348","7.0","8.8","22.8","17.5","24.6","10.5","7.0","1.8",".",".",".",".",".",".",".","."
"101","002","","103","2.299","8.7","9.7","20.4","8.7","33.0","9.7","8.7",".",".",".",".",".",".",".",".","1.0"
"Animal Biology","Course Total","","160","2.316","8.1","9.4","21.3","11.9","30.0","10.0","8.1","0.6",".",".",".",".",".",".",".","0.6"
"102","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","36","3.472","27.8","50.0","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","13","2.458","15.4","15.4","15.4","7.7","15.4","15.4","7.7",".",".",".",".",".",".","7.7",".","."
"150
Ways of Knowing Biology","001","","72","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"151","001","","76","2.757","13.2","11.8","31.6","7.9","31.6","3.9",".",".",".",".",".",".",".",".",".","."
"151","002","","70","2.664","7.1","8.6","37.1","12.9","31.4","1.4","1.4",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","146","2.712","10.3","10.3","34.2","10.3","31.5","2.7","0.7",".",".",".",".",".",".",".",".","."
"152","001","","108","3.347","38.0","12.0","39.8","3.7","5.6","0.9",".",".",".",".",".",".",".",".",".","."
"152","002","","89","3.174","28.1","18.0","39.3","3.4","5.6","4.5","1.1",".",".",".",".",".",".",".",".","."
"152","003","","73","3.096","15.1","9.6","64.4","4.1","5.5","1.4",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","270","3.222","28.5","13.3","46.3","3.7","5.6","2.2","0.4",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
"304
Cellular Biology Laboratory","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Internship/Field Experience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
