"L&S","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.813","70.6","11.8","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","101
002","","12","3.458","50.0",".","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","","16","3.500","62.5","12.5","6.3",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","13","3.615","69.2",".","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","58","3.605","63.8","6.9","19.0","1.7","6.9",".",".","1.7",".",".",".",".",".",".",".","."
"","102
001","","20","3.625","55.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","21","3.643","61.9","4.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","20","3.375","25.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","79","3.576","48.1","20.3","30.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","17","2.906","23.5","29.4","5.9","11.8","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".","."
"","203
003","","13","3.000","53.8",".","15.4",".","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","39","3.066","33.3","23.1","15.4","5.1","10.3","5.1","5.1","2.6",".",".",".",".",".",".",".","."
"","204
001","","19","3.944","84.2","10.5",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","204
002","","16","3.625","62.5","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","13","3.423","46.2","15.4","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","204
004","","14","3.429","42.9","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","62","3.631","61.3","16.1","14.5","1.6","3.2","1.6",".","1.6",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","","26","3.635","50.0","34.6","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","222
001","","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","Course Total","","25","3.740","68.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","","10","3.350","60.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","225
002","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","","16","3.406","50.0","6.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","","43","3.570","62.8","11.6","16.3","4.7","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","226
001","","14","3.321","21.4","35.7","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","15","3.433","20.0","46.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","","29","3.379","20.7","41.4","34.5",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","278
001","","42","3.286","35.7","19.0","26.2","9.5","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"","278
002","","27","3.444","25.9","44.4","25.9",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","69","3.348","31.9","29.0","26.1","5.8","5.8","1.4",".",".",".",".",".",".",".",".",".","."
"Lit des 20. & 21. Jahrhunderts","305
001","","16","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","337
000A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","337
001","","20","3.525","25.0","60.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","Course Total","","24","3.599","33.3","54.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 218 of 403",""
