"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"","991
095","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","47","2.600","14.9",".","4.3",".",".",".",".","72.3","",".",".","",".","",".",".",".",".","."
"LAW
528","Dept. Total","3881","1.873","19.7","3.9","15.2","0.5","2.0","0.4","0.2","24.0","",".",".","",".","",".","0.2",".","0.1","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","25","3.766","32.0","8.0","8.0",".",".",".",".","48.0","",".",".","",".","",".","4.0",".",".","."
"Graduate","","197","3.659","46.2","20.8","11.2","3.0","0.5",".",".","18.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1127","1.212","9.8",".","24.0",".","4.4","0.1",".","0.3","",".",".","",".","",".","0.1",".",".","."
"Prof Yr 2","","1311","1.348","12.7","0.3","12.0",".","1.1","0.2","0.2","31.3","",".",".","",".","",".","0.2",".",".","1.6"
"Prof Yr 3","","1179","3.275","32.6","9.0","11.5","1.1","0.9","0.9","0.3","36.7","",".",".","",".","",".","0.2",".","0.2","1.2"
"Prof Yr 4","","39","3.400","2.6",".","2.6",".",".",".",".","92.3","",".",".","",".","",".","2.6",".",".","."
"Professionals","","3656","1.762","18.1","3.0","15.5","0.4","2.1","0.4","0.2","24.1","",".",".","",".","",".","0.2",".","0.1","1.0"
"","Dept. Total","3881","1.873","19.7","3.9","15.2","0.5","2.0","0.4","0.2","24.0","",".",".","",".","",".","0.2",".","0.1","0.9"
