"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","478","3.350","36.2","27.8","16.7","9.8","7.1","1.0","0.4","0.6",".",".",".",".",".",".",".","0.2"
"Intro-Amer Politcs&Governmt","104","001","460","2.796","8.9","17.2","30.9","22.4","17.0","1.3","2.4",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","306","3.092","13.1","33.7","27.8","17.3","4.9","1.6","1.3","0.3",".",".",".",".",".",".",".","."
"Directed Study","199","299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","124","3.374","18.5","43.5","30.6","6.5",".",".",".","0.8",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","41","3.288","19.5","34.1","34.1","2.4","7.3",".",".","2.4",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","130","3.267","24.6","39.2","20.8","6.2","4.6","1.5","2.3",".",".",".",".",".",".",".",".","0.8"
"SE Asia:Vietnam to Philipns","244","001","17","3.265","35.3","29.4","5.9","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","26","3.442","38.5","30.8","19.2","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","45","3.244","40.0","31.1","11.1",".","8.9","4.4","4.4",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","101","2.765","25.7","12.9","25.7","7.9","11.9","5.0","9.9","1.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","52","3.317","26.9","38.5","17.3","13.5","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","18","3.100","5.6","38.9","33.3",".",".",".","5.6",".",".",".",".",".","16.7",".",".","."
"Prin-International Law","316","001","196","3.253","41.8","18.9","14.8","10.7","7.7","2.0","3.1","1.0",".",".",".",".",".",".",".","."
"Latin-Amer Intl Relations","331","001","47","3.467","23.4","48.9","23.4",".","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"China in World Politics","346","001","82","3.574","40.2","42.7","7.3","7.3","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Third Wrld in Internatl Sys","353","001","15","3.233","33.3","26.7","13.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","45","3.056","20.0","26.7","22.2","15.6","13.3",".","2.2",".",".",".",".",".",".",".",".","."
"Globalizatn:State,Soc&Intl Sys","379","001","47","3.021","10.6","19.1","42.6","19.1","8.5",".",".",".",".",".",".",".",".",".",".","."
"","390","000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","390","000A","13","3.571","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","","Section Total","14","3.545","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","","Course Total","14","3.545","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","400","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","12","3.208","16.7","41.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","401","002","57","3.175","17.5","42.1","17.5","10.5","8.8","3.5",".",".",".",".",".",".",".",".",".","."
"","401","004","12","3.458","50.0","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","401","005","93","3.581","35.5","47.3","15.1","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","401","006","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","007","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","008","6","3.000",".","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","401","009","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","224","3.440","32.6","42.4","16.1","4.5","3.6","0.9",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","123","2.731","19.5","13.0","21.1","18.7","14.6","5.7","5.7","1.6",".",".",".",".",".",".",".","."
"Constitutional Law","412","001","138","3.143","30.4","18.8","18.1","16.7","11.6","2.9",".","0.7",".",".",".",".",".",".","0.7","."
"American Judicial System","417","001","29","3.103","17.2","27.6","31.0","6.9","17.2",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","67","3.030","16.4","25.4","26.9","13.4","13.4","3.0",".",".",".",".",".",".",".","1.5",".","."
"Legislative Internship","427","001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","443","001","58","3.402","37.9","22.4","25.9",".","10.3",".",".",".",".",".",".",".","3.4",".",".","."
"Criminal Law and Justice","452","001","315","3.039","16.8","22.2","35.2","10.2","9.8","4.1","0.3","1.0",".",".",".",".",".","0.3",".","."
"Campaign Finance","466","001","92","3.264","21.7","29.3","31.5","10.9","2.2",".","1.1","1.1",".",".",".",".","1.1","1.1",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 280 of 403",""
