"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","213","3.113","16.9","27.7","35.2","8.9","8.9","0.9","1.4",".",".",".",".",".",".",".",".","."
"","002
300","229","3.081","16.2","29.3","27.9","13.1","10.9","1.3","0.9","0.4",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","442","3.096","16.5","28.5","31.4","11.1","10.0","1.1","1.1","0.2",".",".",".",".",".",".",".","."
"","305
001","48","3.646","47.9","37.5","12.5",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","305
002","41","3.195","19.5","19.5","46.3","9.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","89","3.438","34.8","29.2","28.1","4.5","3.4",".",".",".",".",".",".",".",".",".",".","."
"","310
001","50","3.600","34.0","52.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.313","23.8","40.5","7.1","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","92","3.472","29.3","46.7","10.9","8.7","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Contemporary Topics","365
003","44","3.593","27.3","61.4","9.1",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Communications","415
001","49","3.276","16.3","38.8","28.6","16.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","32","3.297","15.6","37.5","37.5","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","425
001","52","3.356","15.4","42.3","40.4","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","33","3.394","24.2","39.4","30.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","460
002","32","3.484","25.0","50.0","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","45","3.411","28.9","33.3","28.9","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","110","3.427","26.4","40.0","27.3","5.5","0.9",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","41","3.707","51.2","39.0","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","47","3.032","6.4","25.5","48.9","10.6","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","640
002","52","3.020","13.5","28.8","19.2","17.3","17.3",".",".","3.8",".",".",".",".",".",".",".","."
"Retail Management","Course Total","99","3.026","10.1","27.3","33.3","14.1","12.1","1.0",".","2.0",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","700
030","47","3.372","12.8","48.9","38.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","41","3.963","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Outsourcing","724
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","35","3.757","62.9","28.6","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","35","3.662","37.1","54.3","5.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.697","53.2","40.4","4.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
220","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Marketing Rsch","810
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
