"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY
420","Dept. Total","1846","3.129","31.9","19.1","18.0","10.0","10.5","3.0","1.1","5.2","",".","0.2","",".","0.4","0.1","0.2","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","230","2.945","19.6","20.0","22.6","15.2","17.0","4.8","0.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","412","3.031","29.1","17.0","19.9","12.9","14.6","3.6","2.2",".","",".","0.2","",".",".",".",".","0.2","0.2"
"Junior","","368","3.106","26.4","24.2","21.7","9.5","12.2","3.5","1.1","0.8","",".",".","",".",".",".",".","0.5","."
"Senior","","610","3.199","34.9","20.8","17.9","9.5","8.0","2.5","0.8","4.4","",".","0.3","",".",".",".","0.5","0.3","."
"Undergraduates","","1620","3.085","29.3","20.5","19.9","11.2","11.9","3.3","1.2","1.9","",".","0.2","",".",".",".","0.2","0.3","0.1"
"Special","","22","3.025","27.3","4.5","13.6","4.5",".","9.1",".","27.3","",".",".","",".",".",".","4.5","9.1","."
"Graduate","","203","3.810","52.7","9.4","2.5","1.0",".",".",".","29.6","",".",".","",".","3.4","1.0",".","0.5","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1846","3.129","31.9","19.1","18.0","10.0","10.5","3.0","1.1","5.2","",".","0.2","",".","0.4","0.1","0.2","0.4","0.1"
