"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
002","23","3.304","34.8","30.4","17.4","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.550","55.0","10.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.405","28.6","42.9","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
007","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","16","3.500","62.5","12.5","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","101
011","19","3.281","31.6","21.1","21.1","5.3",".",".","5.3","15.8",".",".",".",".",".",".",".","."
"","101
013","14","3.036","7.1","42.9","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","150","3.442","42.0","26.0","18.7","6.0","3.3","0.7","1.3","2.0",".",".",".",".",".",".",".","."
"","102
001","7","2.929","14.3","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.222","27.8","16.7","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.147","29.4","5.9","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
008","18","3.222","22.2","38.9","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","23","3.304","30.4","26.1","26.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
011","20","3.325","35.0","20.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
012","15","3.464","26.7","40.0","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","102
014","13","3.708","61.5","7.7","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","169","3.368","34.3","24.9","23.7","11.2","4.7",".",".","1.2",".",".",".",".",".",".",".","."
"Second Semester Italian Honors","182
001","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","15","3.467","26.7","53.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
002","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","42","3.690","52.4","38.1","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","11","3.400","45.5",".","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","62","3.508","37.1","32.3","22.6","6.5",".",".",".","1.6",".",".",".",".",".",".",".","."
"","204
001","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","46","3.717","60.9","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","15","3.233","40.0","20.0","6.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","20","3.652","45.0","30.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Topic-Italian: Study Abroad","420
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 237 of 403",""
