"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"481
Honors Smr-Cognitive Psych","001","","15","3.889","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"483
Honors-Language, Mind, & Brain","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"507
Psychology of Personality","001","","282","2.748","16.3","13.5","20.2","20.9","21.3","5.0","2.1",".",".",".",".",".",".","0.4",".","0.4"
"509
Abnormal Psychology","002","","293","2.641","18.1","7.5","21.8","9.9","30.4","5.5","3.4","2.7","0.3",".",".",".",".",".",".","0.3"
"512
Bhv Pathology-Psychoses","001","","86","3.159","34.9","17.4","15.1","15.1","7.0","3.5","2.3","1.2",".",".",".",".","2.3",".",".","1.2"
"514
Neurodevelopmental Disorders","001","","18","3.853","77.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"517","001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","002","","22","3.409","27.3","31.8","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","47","3.670","57.4","21.3","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","8","3.357","50.0","12.5",".",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"528
Intro to Cultural Psychology","001","","43","3.105","25.6","18.6","25.6","16.3","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","","41","2.988","12.2","26.8","31.7","14.6","9.8","4.9",".",".",".",".",".",".",".",".",".","."
"550
Animal Comm & Orig of Lang","001","","17","3.206","29.4","17.6","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"560
Child Psychology","001","","197","3.334","37.1","22.3","20.3","10.7","7.6","1.5",".",".",".",".",".",".",".",".","0.5","."
"580
Honors Seminar in Child Psych","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","001","","13","3.875","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","11","3.917","72.7",".","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"618","006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","65","3.961","90.8","4.6","1.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Undergraduate Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"692","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
