"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"","990
073","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","132","",".",".",".",".",".",".",".","89.4","",".",".",".","10.6",".",".",".","."
"BIOCHEM
200","Dept. Total","1215","3.296","37.9","10.9","21.6","6.1","6.7","1.0","0.2","14.1","",".",".",".","1.2","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","14","3.667","71.4","7.1","14.3","7.1",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","217","3.185","40.1","10.6","22.6","10.6","14.3","0.9","0.5",".","",".",".",".",".","0.5",".",".","."
"Senior","","580","3.274","41.7","11.7","27.6","7.6","8.3","1.6","0.3","0.7","",".",".",".",".","0.2",".","0.3","."
"Undergraduates","","814","3.257","42.0","11.3","25.9","8.4","9.7","1.4","0.4","0.5","",".",".",".",".","0.2",".","0.2","."
"Special","","19","3.181","31.6","21.1","15.8","15.8","5.3","5.3",".",".","",".",".",".",".",".",".","5.3","."
"Graduate","","367","3.557","29.4","9.8","12.5","0.8",".",".",".","43.9","",".",".",".","3.5",".",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".","",".",".",".","100.0",".",".",".","."
"Prof Yr 3","","9","3.273","33.3",".","22.2",".","11.1",".",".","33.3","",".",".",".",".",".",".",".","."
"Prof Yr 4","","5","4.000","40.0",".",".",".",".",".",".","60.0","",".",".",".",".",".",".",".","."
"Professionals","","15","3.385","33.3",".","13.3",".","6.7",".",".","40.0","",".",".",".","6.7",".",".",".","."
"","Dept. Total","1215","3.296","37.9","10.9","21.6","6.1","6.7","1.0","0.2","14.1","",".",".",".","1.2","0.2",".","0.2","."
