"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","9","3.056","33.3","22.2","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"102","003","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","32","3.641","65.6","18.8","9.4","3.1",".",".","3.1",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","20","3.605","60.0","25.0","5.0",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","253","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","11","3.571","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","061","","9","3.700","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","267","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","270","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","271","","7","3.333","14.3","42.9","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","44","3.659","43.2","40.9","11.4","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 269 of 403",""
