"Energy Economics","671
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","725
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","725
002","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Public Utilities","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","",""
"TRAN P U
243","Dept. Total","","26","3.354","46.2","19.2","19.2",".","",".","",".","7.7","3.8","",".",".","",".","",".","",".","3.8",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","0.000",".",".",".",".","",".","",".","100.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","12","3.545","33.3","33.3","25.0",".","",".","",".",".",".","",".",".","",".","",".","",".","8.3",".","."
"Undergraduates","","","15","3.071","33.3","26.7","20.0",".","",".","",".","13.3",".","",".",".","",".","",".","",".","6.7",".","."
"Graduate","","","10","3.778","70.0",".","20.0",".","",".","",".",".","10.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","26","3.354","46.2","19.2","19.2",".","",".","",".","7.7","3.8","",".",".","",".","",".","",".","3.8",".","."
