"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","6","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","3","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","10","3.854","80.0","10.0","10.0","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","19","3.920","89.5","5.3","5.3","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","153","3.828","62.1","7.8","4.6","",".","",".","",".","",".","24.2","",".",".","",".","1.3","",".",".",".","."
"Prof Yr 1","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","13","3.909","53.8","7.7",".","",".","",".","",".","",".","23.1","",".",".","",".","15.4","",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","24","3.963","75.0","4.2",".","",".","",".","",".","",".","12.5","",".",".","",".","8.3","",".",".",".","."
