"FINANCE, INVESTMENT & BANKI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"","300","001","259","2.959","17.0","12.7","43.6","10.8","12.0","1.5","2.3",".",".",".",".",".",".",".",".","."
"","300","002","130","2.926","22.3","10.8","33.8","14.6","10.8","1.5","4.6",".",".",".",".",".",".","0.8",".","0.8"
"Introduction to Finance","","Course Total","389","2.948","18.8","12.1","40.4","12.1","11.6","1.5","3.1",".",".",".",".",".",".","0.3",".","0.3"
"","320","001","54","3.546","61.1","3.7","25.9","1.9","7.4",".",".",".",".",".",".",".",".",".",".","."
"","320","002","56","2.946","16.1","19.6","30.4","16.1","12.5","5.4",".",".",".",".",".",".",".",".",".","."
"Investment Theory","","Course Total","110","3.241","38.2","11.8","28.2","9.1","10.0","2.7",".",".",".",".",".",".",".",".",".","."
"","325","001","53","3.096","20.8","11.3","39.6","18.9","7.5",".",".","1.9",".",".",".",".",".",".",".","."
"","325","002","55","3.027","18.2","18.2","32.7","12.7","18.2",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","","Course Total","108","3.061","19.4","14.8","36.1","15.7","13.0",".",".","0.9",".",".",".",".",".",".",".","."
"Derivative Securities","330","001","113","2.995","19.5","9.7","38.9","10.6","15.0","0.9","0.9","3.5",".",".",".",".",".",".","0.9","."
"Contemporary Topics","365","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410","001","53","3.216","22.6","17.0","47.2","5.7","1.9",".","1.9","3.8",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445","001","29","3.603","34.5","55.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457","001","41","3.628","36.6","46.3","12.2",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610","001","15","3.750","40.0","40.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720","030","30","3.467","30.0","36.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721","001","40","3.359","27.5","32.5","27.5","2.5","7.5",".",".","2.5",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726","001","39","3.346","25.6","33.3","33.3","5.1",".","2.6",".",".",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727","001","35","3.400","22.9","40.0","34.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745","001","29","3.339","24.1","31.0","34.5",".","6.9",".",".","3.4",".",".",".",".",".",".",".","."
"Financial Policy","755","001","24","3.646","41.7","45.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","17","3.647","70.6","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799","059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836","001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851","001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920","001","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","141","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","152","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","","Course Total","4","***","","","","","","","","","","","","","","","",""
