"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"699","000D","","20","3.563","40.0","25.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000G","","13","3.500","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000H","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000F","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","130","3.590","47.7","28.5","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","019","","6","3.813","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","161","3.661","55.3","23.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Literature of Design Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".","9.1","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
