"","999
047","7","4.000","100.0",".",".",".","","",".",".",".","",".",".","",".",".","",".",".",".",".","."
"","999
050","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
053","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","31","3.947","90.3",".","3.2","",".","",".","3.2","",".",".","",".",".","",".",".","3.2",".",".","."
"ELPA
305","Dept. Total","500","3.922","70.4","9.0","1.6","",".","",".","0.2","",".","15.8","",".",".","",".","1.2","0.8","0.2","0.6","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","2","3.500",".","50.0",".","",".","",".",".","",".","50.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","2","3.500",".","50.0",".","",".","",".",".","",".","50.0","",".",".","",".",".",".",".",".","."
"Special","","66","3.944","86.4","7.6","1.5","",".","",".",".","",".",".","",".",".","",".",".","1.5",".","3.0","."
"Graduate","","427","3.919","68.1","8.9","1.6","",".","",".","0.2","",".","18.3","",".",".","",".","1.4","0.7","0.2","0.2","0.2"
"Prof Yr 2","","2","4.000","100.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.833","66.7","33.3",".","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","5","3.900","80.0","20.0",".","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","500","3.922","70.4","9.0","1.6","",".","",".","0.2","",".","15.8","",".",".","",".","1.2","0.8","0.2","0.6","0.2"
