"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","39","2.513","12.8","15.4","17.9","12.8","25.6","2.6","10.3",".",".",".",".",".",".","2.6",".","."
"","224
002","69","2.855","11.6","20.3","34.8","8.7","18.8","4.3","1.4",".",".",".",".",".",".",".",".","."
"","224
003","79","2.766","12.7","12.7","38.0","8.9","21.5","2.5","3.8",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","187","2.747","12.3","16.0","32.6","9.6","21.4","3.2","4.3",".",".",".",".",".",".","0.5",".","."
"","301
001","131","3.061","43.5","11.5","13.7","6.9","13.7","6.1","4.6",".",".",".",".",".",".",".",".","."
"","002
301","121","2.744","25.6","17.4","10.7","10.7","22.3","7.4","5.8",".",".",".",".",".",".",".",".","."
"","301
004","91","2.868","23.1","5.5","33.0","12.1","22.0","2.2","2.2",".",".",".",".",".",".",".",".","."
"","301
005","151","3.387","41.1","18.5","23.2","11.3","6.0",".",".",".",".",".",".",".",".",".",".","."
"","301
007","97","3.094","27.8","13.4","30.9","13.4","9.3","3.1","1.0",".",".",".",".",".",".","1.0",".","."
"","301
008","93","2.821","24.7","15.1","10.8","26.9","12.9","2.2","6.5",".",".",".",".",".",".",".",".","1.1"
"Intro-Statistical Methods","Course Total","684","3.023","32.3","14.0","19.9","12.9","13.9","3.5","3.2",".",".",".",".",".",".","0.1",".","0.1"
"Intro to Math Statistics","310
001","25","3.563","36.0","36.0","24.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"Intro to Mathematical Stat","311
001","69","2.826","21.7","17.4","18.8","11.6","23.2","2.9","4.3",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","44","3.057","22.7","18.2","22.7","29.5","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","43","3.186","30.2","16.3","25.6","16.3","11.6",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","38","3.028","26.3","13.2","31.6","7.9","10.5",".","5.3","5.3",".",".",".",".",".",".",".","."
"","371
001","137","2.810","19.7","9.5","33.6","10.9","17.5","5.8","2.9",".",".",".",".",".",".",".",".","."
"","371
002","147","2.867","23.1","9.5","32.0","7.5","20.4","5.4","2.0",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","284","2.840","21.5","9.5","32.7","9.2","19.0","5.6","2.5",".",".",".",".",".",".",".",".","."
"Intro-Survey Theory & Meths","411
001","17","3.219","23.5","35.3","23.5","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","16","3.656","62.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","7","2.571","14.3","14.3","28.6","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","8","2.688","12.5","25.0","25.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Phamacy","441
001","126","3.512","44.4","23.8","26.2","0.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
001","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","49","3.573","36.7","42.9","14.3","4.1",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","17","3.719","52.9","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"Special Topics-Statistics","692
001","13","3.667","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"","698
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
245","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Applied Time Series Anal I","701
001","19","3.528","36.8","31.6","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Mathematical Statistics","710
001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Regressn Analysis","824
001","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
